"Partial Shipping","Teilversand"
"Logging Enabled","Logging Aktiviert"
"Product Attribute used for Shipment Grouping","Produktattribut zur Gruppierung von Sendungen"
"Minimum Shipment Groups","Mindestanzahl Versandgruppen"
"The minimum number of shipment groups required for partial shipping to become available. Shipment groups are created with the above attribute.","Die Mindestanzahl von Versandgruppen, die erforderlich sind, damit der Teilversand verfügbar wird. Sendungsgruppen werden mit dem obigen Attribut erstellt."
"Shipping Rates","Versandkosten-Tabelle"
"Dest. Country","Zielland"
"Price From","Preis von (>=)"
"Price To","Preis bis (<)"
"Shipping Cost","Versandkosten"
"Fallback Shipping Rate","Fallback-Versandkosten"
"Fallback shipping rate in case no shipping rate is found via the above shipping rate table.","Fallback-Versandkosten für den Fall, dass keine Versandkosten über die obige Versandkostentabelle gefunden werden."
"%s single delivery","%s Einzellieferung"
"%s single deliveries","%s Einzellieferungen"
